A	B	E	F	G	H	I	J
16.59016	2.10707E7	13.28995	1.02096E7	13.46969	6.75243E6	15.33748	1.87352E7
16.51605	2.02547E7	13.25824	9.63981E6	13.26881	6.23301E6	15.26343	1.81731E7
16.46312	1.93428E7	12.98335	9.06997E6	13.36396	5.80016E6	15.33748	1.77048E7
16.56899	1.86228E7	13.3111	8.45264E6	13.52256	5.28074E6	15.49614	1.71427E7
16.53723	1.79029E7	13.02564	7.78782E6	13.21595	4.8479E6	15.31632	1.64401E7
16.46312	1.74229E7	13.0785	7.21798E6	13.26881	4.41505E6	15.41152	1.58781E7
16.59016	1.69909E7	13.3111	6.74312E6	13.46969	4.02548E6	15.28459	1.51755E7
16.56899	1.66069E7	12.95163	6.26825E6	13.11022	3.80906E6	15.2317	1.4754E7
16.30431	1.6175E7	13.25824	5.79338E6	13.46969	3.46278E6	15.33748	1.41451E7
16.59016	1.5695E7	13.34282	5.55595E6	13.3111	3.15979E6	15.10477	1.3583E7
16.48429	1.5215E7	13.00449	5.12857E6	13.13136	2.8568E6	15.31632	1.3021E7
16.43136	1.46391E7	13.18423	4.6537E6	13.36396	2.51052E6	15.31632	1.24589E7
16.53723	1.39191E7	13.21595	4.17883E6	13.21595	2.20752E6	15.21055	1.18969E7
16.43136	1.33431E7	12.95163	3.70397E6	13.11022	1.90453E6	15.26343	1.1288E7
16.19844	1.27672E7	13.16308	3.27658E6	13.21595	1.68811E6	15.2317	1.08664E7
16.37842	1.21912E7	13.13136	2.89669E6	13.03621	1.47168E6	15.10477	1.04917E7
16.25137	1.17113E7	12.79304	2.65926E6	13.05735	1.34183E6	15.08362	1.01638E7
16.17726	1.12313E7	13.00449	2.32685E6	13.03621	1.03883E6	14.97784	9.69547E6
16.30431	1.06553E7	12.93048	2.23188E6	13.03621	952265.1875	14.92495	9.22709E6
15.96552	1.01754E7	12.8459	1.99444E6	13.0785	735841.1875	15.03073	8.66503E6
16.12433	9.59939E6	12.87762	1.75701E6	13.00449	605986.875	14.81918	8.24349E6
16.19844	9.11942E6	12.79304	1.61455E6	12.98335	519417.3125	14.76629	7.77511E6
16.01845	8.54346E6	12.56043	1.51958E6	12.89876	389563.03125	14.85091	7.4004E6
16.01845	7.96749E6	12.69788	1.37712E6	12.89876	302993.46875	14.67109	7.07254E6
16.15609	7.48752E6	12.71903	1.18717E6	12.75075	302993.46875	14.58647	6.60416E6
15.89141	7.00755E6	12.48643	949734.6875	12.77189	86569.61719	14.76629	6.0421E6
15.94434	6.43159E6	12.53929	569840.75	12.69788	86569.61719	14.63936	5.71424E6
15.87023	5.95162E6	12.53929	332407.15625	12.71903	0.04128	14.69225	5.24586E6
15.65849	5.47165E6	12.35955	237433.67188	12.64502	0.04128	14.79802	5.15218E6
15.89141	4.89569E6	12.41242	142460.1875	12.48643	0.04128	14.56532	4.91799E6
15.63731	4.55971E6	12.41242	142460.1875	12.75075	86569.61719	14.7134	4.6838E6
15.71143	4.07974E6	12.25383	142460.1875	12.51815	86569.61719	14.63936	4.35593E6
15.83847	3.74376E6	12.46528	142460.1875	12.53929	86569.61719	14.63936	3.98123E6
15.7326	3.40778E6	12.35955	0.06085	12.46528	0.04128	14.56532	3.51285E6
15.69025	3.02381E6	12.1481	-94973.42188	12.48643	0.04128	14.67109	3.18498E6
16.05022	2.78382E6	12.25383	-94973.42188	12.35955	0.04128	14.51243	2.95079E6
15.83847	2.68783E6	12.33841	-94973.42188	12.25382	0.04128	14.4807	2.7166E6
15.76436	2.44784E6	12.07409	-94973.42188	12.57101	0.04128	14.58647	2.38874E6
15.89141	2.35185E6	12.46528	-94973.42188	12.30669	-129854.39844	14.27972	2.06087E6
15.58438	1.96787E6	12.30669	0.06085	12.23268	-129854.39844	14.6182	1.82668E6
15.53144	1.72789E6	12.20096	-94973.42188	12.43356	-129854.39844	14.69225	1.68617E6
15.71143	1.39191E6	12.53929	-94973.42188	12.28554	-129854.39844	14.56532	1.45198E6
15.49968	1.15193E6	12.23268	-94973.42188	12.23268	-129854.39844	14.67109	1.3583E6
15.29852	1.05593E6	12.23268	-94973.42188	12.39127	-129854.39844	14.51243	1.12411E6
15.40439	815947.875	12.23268	-94973.42188	12.12695	86569.61719	14.40665	1.03044E6
15.42557	671957.125	12.02122	-94973.42188	12.20096	0.04128	14.33261	796245.875
15.13972	575963.25	11.9155	-94973.42188	12.39127	0.04128	14.30088	562055.9375
15.45733	431972.46875	11.96836	-94973.42188	12.15867	0.04128	14.24799	327866
15.37264	431972.46875	11.94722	-94973.42188	12.15867	-129854.39844	14.15279	327866
15.17148	335978.59375	11.73576	-94973.42188	12.28554	0.04128	14.27972	234189.98438
15.37264	335978.59375	12.00008	-94973.42188	11.97893	-129854.39844	14.17395	93676.05469
15.19265	239984.6875	11.71462	-94973.42188	12.07409	0.04128	14.01528	93676.05469
15.06561	95993.9375	11.76748	-94973.42188	12.12695	0.04128	13.99413	93676.05469
15.19265	95993.9375	11.9155	0.06085	12.00008	-129854.39844	13.88835	93676.05469
15.06561	95993.9375	11.76748	-94973.42188	11.82034	0.04128	13.94124	0.04467
14.88562	0.04577	11.76748	-94973.42188	12.05294	0.04128	13.92008	0.04467
15.04443	95993.9375	12.02122	-94973.42188	11.87321	0.04128	13.76142	0.04467
14.88562	95993.9375	11.78862	-94973.42188	11.76748	0.04128	14.0999	0.04467
14.88562	95993.9375	11.76748	0.06085	12.00008	0.04128	14.01528	0.04467
14.83269	0.04577	11.78862	0.06085	11.84149	0.04128	13.81431	0.04467
14.75858	0.04577	11.42915	0.06085	11.71461	0.04128	14.15279	0.04467
14.62094	0.04577	11.64061	-94973.42188	12.10581	0.04128	13.94124	0.04467
14.67388	0.04577	11.60889	-94973.42188	11.76748	-129854.39844	13.99413	-140514.0625
14.62094	0.04577	11.42915	-94973.42188	11.71461	-129854.39844	14.24799	0.04467
14.41978	0.04577	11.46087	-94973.42188	11.84149	0.04128	13.94124	0.04467
14.81151	0.04577	11.55602	-94973.42188	11.69347	0.04128	13.97297	0.04467
14.70564	0.04577	11.35514	0.06085	11.55602	0.04128	14.12106	0.04467
14.54683	0.04577	11.46087	-94973.42188	11.58774	0.04128	13.8672	0.04467
14.9068	0.04577	11.46087	-94973.42188	11.51373	0.04128	13.97297	0.04467
14.67388	0.04577	11.37629	-94973.42188	11.51373	0.04128	14.01528	0.04467
14.6527	95993.9375	11.27056	-94973.42188	11.37629	0.04128	13.70853	0.04467
14.77975	0.04577	11.35514	-94973.42188	11.42915	0.04128	13.78258	0.04467
14.44096	0.04577	11.22827	0.06085	11.30228	0.04128	13.65564	0.04467
14.38802	0.04577	11.12254	0.06085	11.24941	0.04128	13.42294	0.04467
14.70564	0.04577	11.24941	-94973.42188	11.28113	0.04128	13.50756	0.04467
14.38802	0.04577	11.01681	-94973.42188	11.22827	-129854.39844	13.47583	0.04467
14.38802	0.04577	10.85822	-94973.42188	11.12254	0.04128	13.29601	0.04467
14.62094	0.04577	11.19655	-94973.42188	11.19655	0.04128	13.40178	0.04467
14.26098	0.04577	11.03796	-94973.42188	11.09082	0.04128	13.56045	0.04467
14.38802	0.04577	10.91109	-94973.42188	10.99567	-129854.39844	13.27485	0.04467
14.41978	0.04577	11.09082	-94973.42188	11.22827	0.04128	13.3489	0.04467
14.2398	0.04577	10.83708	0.06085	10.96395	-129854.39844	13.45467	0.04467
14.36685	0.04577	10.73135	-94973.42188	11.32342	0.04128	13.16908	0.04467
14.44096	0.04577	10.91109	-94973.42188	11.32342	0.04128	13.50756	0.04467
14.11276	0.04577	10.7102	-94973.42188	11.06968	0.04128	13.40178	0.04467
14.41978	0.04577	10.60448	-94973.42188	11.1754	0.04128	13.29601	-140514.0625
14.31391	0.04577	10.9428	-94973.42188	11.06968	0.04128	13.3489	-140514.0625
14.13393	0.04577	10.76307	-94973.42188	11.06968	0.04128	13.24312	0.04467
14.13393	0.04577	10.73135	-94973.42188	11.12254	0.04128	13.40178	0.04467
14.00688	0.04577	11.09082	-94973.42188	10.96395	-129854.39844	13.16908	0.04467
13.8269	0.04577	10.65734	-94973.42188	10.86879	0.04128	13.22196	0.04467
13.84808	0.04577	10.99567	-94973.42188	10.83708	-129854.39844	13.32774	0.04467
13.69985	0.04577	10.91109	-94973.42188	10.83708	-129854.39844	12.98926	0.04467
13.66809	95993.9375	10.62562	-94973.42188	10.67849	0.04128	13.09503	-140514.0625
13.87984	0.04577	10.73135	0.06085	10.81593	-129854.39844	13.09503	0.04467
13.69985	0.04577	10.49875	-94973.42188	10.67849	0.04128	13.01041	0.04467
13.69985	95993.9375	10.53047	-94973.42188	10.58333	0.04128	13.04215	0.04467
13.77397	95993.9375	10.76307	-94973.42188	10.58333	0.04128	13.01041	0.04467
13.72103	0.04577	10.4776	-94973.42188	10.49875	-129854.39844	12.75655	-140514.0625
13.59398	0.04577	10.49875	-94973.42188	10.37187	-129854.39844	12.77771	-140514.0625
13.64692	0.04577	10.60448	-94973.42188	10.40359	-129854.39844	12.75655	-140514.0625
13.7422	0.04577	10.26615	-94973.42188	10.44588	0.04128	12.49211	0.04467
13.50929	0.04577	10.55161	-94973.42188	10.42474	0.04128	12.62962	0.04467
13.54105	0.04577	10.58333	-94973.42188	10.35073	-129854.39844	12.77771	0.04467
13.7422	0.04577	10.26615	-94973.42188	10.44588	0.04128	12.52384	0.04467
13.54105	0.04577	10.4776	-94973.42188	10.44588	0.04128	12.70366	0.04467
13.66809	0.04577	10.4776	-94973.42188	10.40359	0.04128	12.77771	0.04467
13.72103	0.04577	10.16042	-94973.42188	10.42474	0.04128	12.59789	0.04467
13.28695	95993.9375	10.37187	-94973.42188	10.35073	0.04128	12.93637	0.04467
13.54105	0.04577	10.21328	-94973.42188	10.4776	0.04128	12.70366	0.04467
13.43517	0.04577	9.95954	-94973.42188	10.44588	0.04128	12.65077	-140514.0625
13.20225	0.04577	10.16042	-94973.42188	10.11813	0.04128	12.77771	-140514.0625
13.54105	0.04577	10.03355	-94973.42188	10.42474	0.04128	12.57673	-140514.0625
13.46693	0.04577	9.95954	-94973.42188	10.245	0.04128	12.34403	0.04467
13.25519	0.04577	9.98068	-94973.42188	10.21328	0.04128	12.68251	0.04467
13.77397	0.04577	9.98068	-94973.42188	10.245	-129854.39844	12.47096	0.04467
13.66809	0.04577	9.67407	-94973.42188	10.245	-129854.39844	12.39691	0.04467
13.414	95993.9375	9.92782	-94973.42188	10.17099	-129854.39844	12.57673	0.04467
13.7422	0.04577	9.7798	-94973.42188	10.08641	-129854.39844	12.41807	-140514.0625
13.54105	0.04577	9.62121	-94973.42188	10.0124	-129854.39844	12.41807	-140514.0625
13.48811	0.04577	9.74808	-94973.42188	10.11813	0.04128	12.47096	-140514.0625
13.72103	0.04577	9.83266	-94973.42188	10.03355	0.04128	12.39691	0.04467
13.414	0.04577	9.60006	-94973.42188	10.0124	0.04128	12.39691	0.04467
13.414	0.04577	9.83266	-94973.42188	10.19214	0.04128	12.31229	-140514.0625
13.36106	0.04577	9.80095	0.06085	10.11813	0.04128	12.21709	-140514.0625
13.07521	0.04577	9.49433	0.06085	10.0124	0.04128	12.4498	-140514.0625
13.05403	0.04577	9.69522	0.06085	10.0124	-129854.39844	12.11132	0.04467
13.14932	0.04577	9.80095	-94973.42188	9.83266	-129854.39844	12.23825	0.04467
12.89523	0.04577	9.49433	-94973.42188	9.83266	0.04128	12.23825	0.04467
12.94816	0.04577	9.95954	-94973.42188	10.17099	0.04128	12.05843	0.04467
13.20225	0.04577	9.83266	-94973.42188	9.90667	0.04128	12.18536	0.04467
12.89523	0.04577	9.65293	-94973.42188	9.93839	0.04128	12.23825	-140514.0625
13.07521	0.04577	9.74808	-94973.42188	10.0124	0.04128	12.00554	-140514.0625
13.07521	0.04577	9.62121	0.06085	9.80095	0.04128	12.23825	0.04467
12.76818	0.04577	9.33574	-94973.42188	9.65293	0.04128	12.18536	0.04467
12.96934	0.04577	9.49433	-94973.42188	9.88553	0.04128	11.9315	0.04467
13.07521	0.04577	9.49433	-94973.42188	9.67407	0.04128	12.23825	0.04467
12.78935	0.04577	9.24059	-94973.42188	9.56835	0.04128	12.16421	0.04467
13.18108	0.04577	9.42033	0.06085	9.90667	0.04128	11.87861	-140514.0625
12.89523	0.04577	9.42033	-94973.42188	9.75865	0.04128	12.11132	0.04467
12.82112	0.04577	9.13486	-94973.42188	9.70579	0.04128	11.98439	0.04467
13.05403	0.04577	9.28288	-94973.42188	9.88553	0.04128	11.89977	0.04467
12.73642	0.04577	9.36746	-94973.42188	9.80095	0.04128	12.18536	-140514.0625
12.73642	0.04577	8.92341	-94973.42188	9.75865	0.04128	11.87861	-140514.0625
12.94816	0.04577	9.28288	-94973.42188	10.0124	0.04128	11.84688	-140514.0625
12.53526	95993.9375	9.26173	-94973.42188	9.70579	-129854.39844	12.07959	-140514.0625
12.71524	0.04577	9.05028	-94973.42188	9.72694	-129854.39844	11.89977	-140514.0625
12.78935	0.04577	9.24059	0.06085	9.93839	0.04128	11.95266	0.04467
12.37645	0.04577	9.24059	-94973.42188	9.70579	0.04128	12.11132	0.04467
12.68348	0.04577	8.87054	-94973.42188	9.7798	-129854.39844	11.82573	0.04467
12.45056	0.04577	9.26173	-94973.42188	9.88553	0.04128	11.82573	0.04467
12.21764	0.04577	9.18773	-94973.42188	9.65293	0.04128	11.84688	0.04467
12.42939	0.04577	9.082	0.06085	9.70579	0.04128	11.64591	0.04467
12.37645	0.04577	9.26173	0.06085	9.75865	0.04128	11.82573	0.04467
12.1753	0.04577	8.95513	0.06085	9.72694	0.04128	11.64591	0.04467
12.53526	95993.9375	8.8494	0.06085	9.65293	0.04128	11.61417	0.04467
12.35528	0.04577	8.92341	-94973.42188	9.99126	0.04128	11.71995	0.04467
12.1753	0.04577	8.95513	-94973.42188	9.80095	0.04128	11.51897	-140514.0625
12.35528	0.04577	8.72252	-94973.42188	9.88553	-129854.39844	11.43436	0.04467
12.24941	0.04577	8.87054	-94973.42188	10.245	0.04128	11.51897	0.04467
11.96355	0.04577	8.97627	0.06085	10.03355	0.04128	11.46609	0.04467
12.37645	0.04577	8.66966	-94973.42188	10.11813	0.04128	11.36031	0.04467
12.30234	0.04577	8.81768	-94973.42188	10.08641	0.04128	11.61417	0.04467
11.98473	0.04577	8.77539	-94973.42188	9.99126	0.04128	11.36031	0.04467
12.1753	0.04577	8.56393	-94973.42188	10.13927	0.04128	11.36031	0.04467
12.27058	95993.9375	8.63794	-94973.42188	10.13927	0.04128	11.48724	0.04467
12.06942	0.04577	8.56393	-94973.42188	10.03355	0.04128	11.25454	-140514.0625
12.35528	0.04577	8.4582	-94973.42188	10.31901	0.04128	11.30742	0.04467
12.14353	0.04577	8.59565	-94973.42188	10.44588	86569.61719	11.4132	-140514.0625
12.06942	0.04577	8.56393	-94973.42188	10.40359	0.04128	11.18049	-140514.0625
12.32352	0.04577	8.48992	-94973.42188	10.49875	0.04128	11.36031	-140514.0625
12.01649	0.04577	8.4582	-94973.42188	10.4776	0.04128	11.46609	-140514.0625
12.1753	0.04577	8.63794	-94973.42188	10.29787	0.04128	11.14876	0.04467
12.27058	0.04577	8.48992	-94973.42188	10.63619	0.04128	11.48724	0.04467
11.96355	0.04577	8.54279	-94973.42188	10.60447	0.04128	11.33916	0.04467
11.96355	0.04577	8.63794	-94973.42188	10.49875	0.04128	11.12761	-140514.0625
12.1753	0.04577	8.48992	-94973.42188	11.06968	0.04128	11.28627	0.04467
11.83651	0.04577	8.54279	-94973.42188	10.73135	0.04128	11.25454	0.04467
12.01649	0.04577	8.69081	-94973.42188	10.78421	0.04128	11.00067	0.04467
12.14353	0.04577	8.66966	-94973.42188	11.1754	86569.61719	11.20165	0.04467
11.83651	0.04577	8.56393	-94973.42188	10.96395	86569.61719	11.10645	0.04467
11.83651	0.04577	8.66966	0.06085	11.14369	86569.61719	10.84201	0.04467
12.0906	0.04577	8.4582	-94973.42188	11.48201	86569.61719	11.07472	0.04467
11.65652	95993.9375	8.54279	-94973.42188	11.14369	952265.1875	10.96894	0.04467
11.94238	0.04577	8.81768	0.06085	11.408	2.94337E6	10.71508	-140514.0625
11.75181	0.04577	8.59565	-94973.42188	11.408	5.06432E6	10.96894	0.04467
11.49771	0.04577	8.8494	-94973.42188	11.28113	5.15089E6	10.96894	0.04467
11.85768	0.04577	9.05028	-94973.42188	11.408	2.12095E6	10.82086	0.04467
11.83651	0.04577	8.63794	-94973.42188	11.48201	-216423.96875	11.12761	-140514.0625
11.60359	95993.9375	9.082	-94973.42188	11.35514	-1.38511E6	10.96894	0.04467
11.73063	0.04577	8.95513	-94973.42188	11.51373	-865695.6875	10.78912	0.04467
11.73063	95993.9375	8.81768	-94973.42188	11.55602	-952265.0625	10.96894	0.04467
11.55065	0.04577	9.02914	-94973.42188	11.66175	216423.89063	10.78912	0.04467
11.51889	95993.9375	9.00799	-94973.42188	11.58774	735841.1875	10.76797	0.04467
11.62476	0.04577	9.00799	0.06085	11.60889	605986.875	10.84201	0.04467
11.4236	0.04577	9.42033	-94973.42188	11.97893	605986.875	10.71508	-140514.0625
11.26479	0.04577	9.26173	0.06085	11.78862	1.34183E6	10.66219	-140514.0625
11.4236	0.04577	9.33574	-94973.42188	11.97893	4.11205E6	10.8949	-140514.0625
11.33891	0.04577	9.44147	-94973.42188	11.97893	8.44053E6	10.76797	0.04467
11.21186	0.04577	9.15601	-94973.42188	11.87321	8.44053E6	10.73624	0.04467
11.44478	0.04577	9.28288	-94973.42188	12.23268	7.27184E6	10.91605	0.04467
11.44478	0.04577	9.28288	-94973.42188	12.23268	9.47937E6	10.76797	0.04467
11.29656	95993.9375	9.13486	0.06085	12.25382	1.21197E7	10.69393	0.04467
11.39184	0.04577	9.38861	-94973.42188	12.48643	1.57124E7	10.87374	0.04467
11.49771	0.04577	9.33574	-94973.42188	12.39127	1.70109E7	10.73624	0.04467
11.31773	0.04577	9.28288	-94973.42188	12.46528	1.84826E7	10.69393	0.04467
11.47654	0.04577	9.38861	-94973.42188	12.59215	1.94349E7	10.76797	0.04467
11.60359	0.04577	9.3146	-94973.42188	12.48643	2.17722E7	10.76797	-140514.0625
11.33891	0.04577	9.26173	0.06085	12.48643	2.27245E7	10.76797	-140514.0625
11.85768	0.04577	9.38861	-94973.42188	12.62387	2.27245E7	10.94779	0.04467
11.73063	0.04577	9.44147	-94973.42188	12.75075	2.44126E7	10.82086	0.04467
11.60359	0.04577	9.44147	0.06085	12.77189	2.7053E7	10.76797	0.04467
11.85768	0.04577	9.47319	0.06085	12.80361	2.77888E7	10.82086	0.04467
11.91062	0.04577	9.74808	0.06085	13.05735	2.92605E7	10.84201	0.04467
11.57183	0.04577	9.7798	-94973.42188	12.93048	2.92605E7	10.78912	-140514.0625
12.06942	0.04577	9.80095	0.06085	13.0785	2.96934E7	10.8949	0.04467
11.94238	95993.9375	9.98068	-94973.42188	13.28996	3.13815E7	11.00067	0.04467
11.75181	95993.9375	9.90667	-94973.42188	13.16308	3.37188E7	10.8949	0.04467
12.19647	95993.9375	9.95954	-94973.42188	13.26881	3.50607E7	10.94779	0.04467
11.91062	0.04577	9.95954	-94973.42188	13.28996	3.66622E7	11.14876	-140514.0625
12.21764	0.04577	10.06527	0.06085	13.41683	3.7701E7	11.18049	-140514.0625
12.45056	0.04577	10.31901	-94973.42188	13.44855	3.86533E7	11.12761	0.04467
12.1753	0.04577	10.245	-94973.42188	13.5437	4.03414E7	11.14876	0.04467
12.63055	0.04577	10.29787	0.06085	13.5437	4.31982E7	11.25454	0.04467
12.48232	0.04577	10.60448	-94973.42188	13.44855	4.47997E7	11.14876	0.04467
12.37645	0.04577	10.35073	0.06085	13.70229	4.6055E7	11.4132	0.04467
12.60937	0.04577	10.76307	0.06085	13.82917	4.74401E7	11.33916	0.04467
12.53526	95993.9375	10.78421	474867.28125	13.88203	4.88252E7	11.25454	0.04467
12.39763	95993.9375	10.67848	1.28214E6	13.80802	5.05999E7	11.51897	0.04467
12.82112	95993.9375	11.19655	1.99444E6	14.09348	5.22014E7	11.4132	0.04467
12.5035	95993.9375	10.99567	1.99444E6	14.06177	5.33701E7	11.36031	0.04467
12.55644	0.04577	10.96395	1.18717E6	14.18864	5.54478E7	11.48724	0.04467
12.9164	95993.9375	11.30228	237433.67188	14.37895	5.72658E7	11.57186	0.04467
12.71524	95993.9375	11.19655	-237433.71875	14.27322	5.75688E7	11.38147	0.04467
12.84229	0.04577	11.32342	-237433.71875	14.34723	5.77852E7	11.59302	0.04467
13.3293	0.04577	11.27056	237433.67188	14.42124	5.92569E7	11.87861	0.04467
12.82112	0.04577	11.1754	949734.6875	14.50582	6.08584E7	11.64591	0.04467
13.414	0.04577	11.46087	1.37712E6	14.45296	6.20271E7	12.05843	0.04467
13.23402	0.04577	11.53488	1.04471E6	14.57983	6.20271E7	12.11132	0.04467
13.14932	0.04577	11.408	712300.875	14.61155	6.18972E7	11.95266	0.04467
13.414	0.04577	11.60889	1.37712E6	14.68556	6.31958E7	12.16421	0.04467
13.46693	0.04577	11.73576	2.56428E6	14.65384	6.49705E7	12.16421	0.04467
13.46693	0.04577	11.53488	3.46653E6	14.73842	6.53167E7	12.11132	93676.05469
13.59398	95993.9375	11.96836	5.12857E6	14.81243	6.51869E7	12.11132	93676.05469
13.43517	95993.9375	12.10581	7.78782E6	14.75957	6.59227E7	12.13247	0.04467
13.43517	239984.6875	11.94722	8.45264E6	14.88644	6.70048E7	12.13247	93676.05469
13.69985	1.48791E6	12.25383	8.83253E6	14.88644	6.78272E7	12.29114	0.04467
13.46693	4.79969E6	12.28554	1.02096E7	14.99217	6.82601E7	12.2594	0.04467
13.7422	6.3356E6	12.20096	1.20616E7	15.15076	6.86929E7	12.2594	0.04467
13.84808	3.74376E6	12.20096	1.38186E7	15.22477	6.99482E7	12.545	93676.05469
13.69985	239984.6875	12.43356	1.56706E7	15.20362	7.19393E7	12.47096	421542
13.84808	-1.77589E6	12.30669	1.63354E7	15.15076	7.2805E7	12.52384	1.26463E6
14.08099	-1.05593E6	12.30669	1.72852E7	15.40451	7.34543E7	12.68251	1.82668E6
13.97512	-959938.875	12.3807	1.91372E7	15.17191	7.47095E7	12.62962	1.92036E6
14.00688	-575963.3125	12.43356	2.08942E7	15.27763	7.59648E7	12.62962	1.12411E6
14.38802	1.29592E6	12.46528	2.21288E7	15.63711	7.68305E7	12.80944	234189.98438
14.20804	1.29592E6	12.59215	2.43607E7	15.45737	7.77828E7	12.68251	-234190.0625
14.34568	815947.875	12.56043	2.60702E7	15.63711	7.86052E7	12.88348	-140514.0625
14.6527	-719954.0625	12.77189	2.73524E7	15.68997	7.97738E7	13.16908	0.04467
14.41978	575963.25	12.75074	2.94418E7	15.66883	8.07261E7	12.98926	234189.98438
14.81151	4.55971E6	12.82476	3.10563E7	15.99658	8.13754E7	13.16908	327866
14.81151	9.83937E6	12.95163	3.23385E7	15.94372	8.1765E7	13.32774	327866
14.4939	7.58352E6	12.87762	3.46653E7	15.90143	8.27172E7	13.04215	0.04467
15.13972	3.40778E6	12.93048	3.65173E7	16.04944	8.32799E7	13.45467	93676.05469
15.06561	3.40778E6	13.11022	3.77994E7	15.97543	8.29336E7	13.45467	1.03044E6
14.85386	7.15154E6	13.0785	3.9319E7	15.99658	8.30635E7	13.3489	2.7166E6
15.40439	1.08953E7	13.21595	4.06961E7	16.04944	8.33665E7	13.65564	4.35593E6
15.19265	1.19512E7	13.41683	4.16459E7	16.04944	8.32799E7	13.74027	5.94843E6
15.17148	1.24312E7	13.23709	4.3023E7	16.04944	8.31501E7	13.68738	6.27629E6
15.55262	1.33431E7	13.3111	4.45426E7	16.0283	8.29336E7	13.74027	6.0421E6
15.3197	1.47351E7	13.46969	4.55873E7	16.08116	8.29336E7	13.83546	8.0093E6
15.19265	1.5215E7	13.44855	4.68219E7	16.10231	8.31501E7	13.81431	1.07259E7
15.53144	1.48791E7	13.49084	4.80091E7	16.28205	8.29336E7	13.8672	1.24589E7
15.3197	1.78069E7	13.62828	4.89113E7	16.20804	8.24142E7	13.8672	1.3583E7
15.40439	2.05907E7	13.62828	5.01935E7	16.17632	8.23276E7	13.70853	1.50818E7
15.47851	2.31825E7	13.64943	5.10007E7	16.2609	8.25008E7	13.99413	1.56439E7
15.42557	2.50544E7	14.06177	5.16181E7	16.22918	8.23276E7	14.0999	1.69085E7
15.58438	2.44784E7	13.90317	5.24253E7	16.31377	8.21978E7	13.99413	1.82668E7
15.69025	2.54384E7	13.90317	5.32326E7	16.4935	8.27172E7	14.53358	1.99062E7
15.55262	2.77422E7	14.13578	5.38025E7	16.28205	8.32799E7	14.43839	2.13581E7
15.69025	3.04301E7	14.13578	5.45148E7	16.64152	8.36695E7	14.40665	2.33253E7
15.99728	3.30219E7	14.16749	5.55595E7	16.46178	8.36695E7	14.6182	2.41216E7
15.83847	3.43178E7	14.27322	5.64617E7	16.56751	8.35829E7	14.45954	2.5152E7
15.83847	3.46538E7	14.34723	5.78388E7	16.77896	8.41023E7	14.3855	2.61824E7
16.07139	3.63337E7	14.2415	5.95009E7	16.67324	8.5271E7	14.69225	2.68382E7
15.92317	3.78216E7	14.36838	6.01657E7	16.69438	8.57904E7	14.6182	2.81028E7
16.07139	4.08934E7	14.42124	6.13529E7	16.85297	8.57904E7	14.4807	3.007E7
16.10315	4.25253E7	14.34723	6.28249E7	16.67324	8.57904E7	14.76629	3.09599E7
15.99728	4.43012E7	14.45296	6.40121E7	16.7261	8.60069E7	14.51243	3.13346E7
16.15609	4.49731E7	14.54811	6.53892E7	16.85297	8.62233E7	14.79802	3.19904E7
16.17726	4.56931E7	14.60098	6.66714E7	16.67324	8.63098E7	14.76629	3.30208E7
16.12433	4.6749E7	14.47411	6.7811E7	16.90584	8.62233E7	14.92495	3.45196E7
16.33607	4.6989E7	14.81243	6.87608E7	16.90584	8.62233E7	15.15766	3.61121E7
16.46312	4.83809E7	14.68556	7.02804E7	16.77896	8.57904E7	14.94611	3.71425E7
16.35724	5.05888E7	14.73842	7.142E7	16.90584	8.50546E7	15.21055	3.78451E7
16.74897	5.12127E7	15.04503	7.23698E7	16.80011	8.43187E7	15.31632	3.88755E7
16.89719	5.08288E7	14.88644	7.36044E7	16.97985	8.42322E7	15.26343	4.03744E7
16.69603	5.07328E7	14.8653	7.45542E7	17.08557	8.43187E7	15.49614	4.18263E7
17.056	5.24607E7	15.15076	7.48866E7	16.9587	8.37993E7	15.44325	4.3091E7
17.03483	5.44765E7	14.9393	7.55989E7	17.05386	8.29336E7	15.49614	4.40277E7
16.92895	5.55325E7	15.04503	7.61687E7	17.13844	8.18948E7	15.5173	4.46834E7
17.16187	5.48125E7	15.27763	7.65011E7	17.10672	8.1159E7	15.90867	4.54797E7
17.16187	5.48125E7	15.11904	7.6881E7	17.08557	8.05097E7	15.62307	4.60886E7
17.00306	5.70684E7	15.27763	7.71185E7	17.10672	7.99903E7	15.67596	4.69785E7
17.28892	5.91802E7	15.35164	7.71185E7	17.03271	7.97738E7	15.90867	4.82431E7
17.28892	5.98522E7	15.27763	7.72134E7	17.1913	7.98604E7	15.67596	4.93672E7
17.07718	6.03322E7	15.35164	7.73559E7	17.28646	7.98604E7	15.96156	5.03977E7
17.36303	6.16281E7	15.63711	7.71185E7	17.21245	7.9341E7	16.16253	5.15686E7
17.3101	6.34999E7	15.38336	7.73559E7	17.31818	7.9038E7	15.92982	5.28333E7
17.28892	6.50359E7	15.47852	7.77833E7	17.4239	7.92544E7	16.26831	5.40979E7
17.4689	6.57078E7	15.76398	7.76883E7	17.33932	7.94709E7	16.19426	5.5222E7
17.36303	6.70037E7	15.58424	7.81632E7	17.31818	7.95574E7	16.14138	5.56904E7
17.36303	6.88756E7	15.61596	7.85905E7	17.26531	7.9341E7	16.28946	5.62524E7
