A	B	C	D
39.37385	-2.9063	39.37405	0.394
39.40708	-2.90611	39.40728	0.39419
39.44133	-2.90616	39.44153	0.39414
39.47441	-2.90546	39.47461	0.39484
39.50795	-2.90582	39.50815	0.39448
39.54301	-2.90608	39.54321	0.39422
39.57437	-2.90619	39.57457	0.39411
39.60756	-2.9062	39.60776	0.3941
39.64152	-2.90649	39.64172	0.39381
39.67532	-2.90658	39.67552	0.39372
39.70679	-2.90638	39.70699	0.39392
39.73959	-2.9067	39.73979	0.3936
39.77249	-2.90714	39.77269	0.39316
39.80353	-2.90705	39.80373	0.39325
39.84037	-2.9067	39.84057	0.3936
39.87439	-2.90639	39.87459	0.39391
39.91185	-2.90584	39.91205	0.39446
39.94762	-2.90537	39.94782	0.39493
39.97696	-2.90498	39.97716	0.39532
40.00915	-2.90475	40.00935	0.39555
40.04179	-2.90423	40.04199	0.39607
40.07712	-2.90429	40.07732	0.39601
40.10805	-2.90407	40.10825	0.39623
40.13773	-2.90389	40.13793	0.39641
40.17788	-2.90325	40.17808	0.39705
40.20561	-2.90295	40.20581	0.39735
40.23901	-2.90333	40.23921	0.39697
40.274	-2.90444	40.2742	0.39586
40.30495	-2.90465	40.30515	0.39565
40.33977	-2.90468	40.33997	0.39562
40.37294	-2.90437	40.37314	0.39593
40.40326	-2.90378	40.40346	0.39652
40.43704	-2.90367	40.43724	0.39663
40.47019	-2.90371	40.47039	0.39659
40.50247	-2.90362	40.50267	0.39668
40.53713	-2.90323	40.53733	0.39707
40.56901	-2.90346	40.56921	0.39684
40.60194	-2.90402	40.60214	0.39628
40.63571	-2.90434	40.63591	0.39596
40.66955	-2.90489	40.66975	0.39541
40.70497	-2.9041	40.70517	0.3962
40.735	-2.90456	40.7352	0.39574
40.76921	-2.90484	40.76941	0.39546
40.80098	-2.90502	40.80118	0.39528
40.83641	-2.90524	40.83661	0.39506
40.86875	-2.90604	40.86895	0.39426
40.9013	-2.90607	40.9015	0.39423
40.93391	-2.90609	40.93411	0.39421
40.96789	-2.90668	40.96809	0.39362
41.00264	-2.9069	41.00284	0.39341
41.03538	-2.90641	41.03558	0.39389
41.06713	-2.90688	41.06733	0.39342
41.10075	-2.90729	41.10095	0.39301
41.13262	-2.90732	41.13282	0.39298
41.16551	-2.90672	41.16571	0.39358
41.19963	-2.90615	41.19983	0.39415
41.23213	-2.90641	41.23233	0.39389
41.26443	-2.90593	41.26463	0.39437
41.29798	-2.90599	41.29818	0.39431
41.33057	-2.90599	41.33077	0.39431
41.36538	-2.90562	41.36558	0.39468
41.40066	-2.90505	41.40086	0.39525
41.43197	-2.90474	41.43217	0.39556
41.46388	-2.90498	41.46408	0.39532
41.4967	-2.90493	41.4969	0.39537
41.53091	-2.90528	41.53111	0.39502
41.56593	-2.90499	41.56613	0.39531
41.59683	-2.90528	41.59703	0.39502
41.62982	-2.90579	41.63002	0.39451
41.66327	-2.90621	41.66347	0.39409
41.69394	-2.90637	41.69414	0.39393
41.72612	-2.90644	41.72632	0.39386
41.76078	-2.90589	41.76098	0.39441
41.79404	-2.90527	41.79424	0.39503
41.82664	-2.90456	41.82684	0.39574
41.85899	-2.90439	41.85919	0.39591
41.89229	-2.90464	41.89249	0.39566
41.9281	-2.90482	41.9283	0.39548
41.95843	-2.90503	41.95863	0.39527
41.99369	-2.90556	41.99389	0.39474
42.0266	-2.90606	42.0268	0.39424
42.05979	-2.90637	42.05999	0.39393
42.09267	-2.90665	42.09287	0.39365
42.12418	-2.90715	42.12438	0.39315
42.15799	-2.90807	42.15819	0.39223
42.19067	-2.90812	42.19087	0.39218
42.22477	-2.90949	42.22497	0.39081
42.25737	-2.90945	42.25757	0.39085
42.29111	-2.90943	42.29131	0.39087
42.3227	-2.90973	42.3229	0.39057
42.35636	-2.90974	42.35656	0.39056
42.39061	-2.90905	42.39081	0.39125
42.42008	-2.90923	42.42028	0.39107
42.4565	-2.90821	42.4567	0.39209
42.49011	-2.90808	42.49031	0.39222
42.52411	-2.90795	42.52431	0.39235
42.55637	-2.90822	42.55657	0.39208
42.59034	-2.90867	42.59054	0.39163
42.62396	-2.90876	42.62416	0.39154
42.65762	-2.90872	42.65782	0.39158
42.69072	-2.90924	42.69092	0.39106
42.7223	-2.90931	42.7225	0.39099
42.75635	-2.90915	42.75655	0.39115
42.79147	-2.90915	42.79167	0.39115
42.82268	-2.90973	42.82288	0.39057
42.85604	-2.90965	42.85624	0.39065
42.89124	-2.90929	42.89144	0.39101
42.92222	-2.90868	42.92242	0.39162
42.95641	-2.90799	42.95661	0.39231
42.98951	-2.90732	42.98971	0.39298
43.02344	-2.90761	43.02364	0.39269
43.05487	-2.90815	43.05507	0.39215
43.0878	-2.90823	43.088	0.39207
43.12031	-2.90787	43.12051	0.39243
43.154	-2.90769	43.1542	0.39261
43.18773	-2.90729	43.18793	0.39301
43.22093	-2.9078	43.22113	0.3925
43.25532	-2.90857	43.25552	0.39173
43.28976	-2.90876	43.28996	0.39154
43.32173	-2.90931	43.32193	0.39099
43.35408	-2.91022	43.35428	0.39008
43.38738	-2.9105	43.38758	0.3898
43.42056	-2.91055	43.42076	0.38975
43.45396	-2.91039	43.45416	0.38991
43.48924	-2.90966	43.48944	0.39064
43.52142	-2.90911	43.52162	0.39119
43.55296	-2.90916	43.55316	0.39114
43.58771	-2.90838	43.58791	0.39192
43.62147	-2.90778	43.62167	0.39252
43.65376	-2.90771	43.65396	0.39259
43.68877	-2.90778	43.68897	0.39252
43.7206	-2.90754	43.7208	0.39276
43.75374	-2.90752	43.75394	0.39278
43.78809	-2.90791	43.78829	0.39239
43.81916	-2.9083	43.81936	0.392
43.8547	-2.90878	43.8549	0.39152
43.88738	-2.90941	43.88758	0.39089
43.92002	-2.9097	43.92022	0.3906
43.95371	-2.90965	43.95391	0.39065
43.98977	-2.90995	43.98997	0.39036
44.01958	-2.91117	44.01978	0.38913
44.05415	-2.91144	44.05435	0.38886
44.08629	-2.91153	44.08649	0.38877
44.11882	-2.91069	44.11902	0.38961
44.15172	-2.91054	44.15192	0.38976
44.18447	-2.91049	44.18467	0.38981
44.2173	-2.91072	44.2175	0.38958
44.2511	-2.91068	44.2513	0.38962
44.28457	-2.91087	44.28477	0.38943
44.31736	-2.9112	44.31756	0.3891
44.35111	-2.91157	44.35131	0.38873
44.38239	-2.91192	44.38259	0.38838
44.41432	-2.91249	44.41452	0.38781
44.44771	-2.91289	44.44791	0.38741
44.48142	-2.91247	44.48162	0.38783
44.51441	-2.91274	44.51461	0.38756
44.54749	-2.91328	44.54769	0.38702
44.58088	-2.9133	44.58108	0.387
44.61312	-2.9129	44.61332	0.3874
44.64891	-2.91213	44.64911	0.38817
44.68197	-2.91213	44.68217	0.38817
44.71629	-2.91233	44.71649	0.38797
44.75101	-2.91245	44.75121	0.38785
44.78424	-2.91206	44.78444	0.38824
44.81422	-2.91217	44.81442	0.38813
44.84788	-2.91225	44.84808	0.38805
44.88428	-2.91299	44.88448	0.38731
44.91478	-2.91329	44.91498	0.38701
44.94621	-2.91359	44.94641	0.38671
44.98258	-2.9136	44.98278	0.3867
45.01425	-2.91333	45.01445	0.38697
45.04824	-2.91293	45.04844	0.38738
45.079	-2.91252	45.0792	0.38778
45.11308	-2.91206	45.11328	0.38824
45.14712	-2.9127	45.14732	0.3876
45.17792	-2.91249	45.17812	0.38781
45.2112	-2.91199	45.2114	0.38831
45.24496	-2.91204	45.24516	0.38826
45.27935	-2.91198	45.27955	0.38832
45.31307	-2.91257	45.31327	0.38773
45.34491	-2.91223	45.34511	0.38807
45.37863	-2.9121	45.37883	0.3882
45.41014	-2.91205	45.41034	0.38825
45.44539	-2.91219	45.44559	0.38811
45.47786	-2.91221	45.47806	0.38809
45.50934	-2.91249	45.50954	0.38781
45.5411	-2.91284	45.5413	0.38746
45.57396	-2.91287	45.57416	0.38743
45.60933	-2.91361	45.60953	0.38669
45.6433	-2.91369	45.6435	0.38661
45.67603	-2.9136	45.67623	0.3867
45.71183	-2.91359	45.71203	0.38671
45.74458	-2.91328	45.74478	0.38702
45.77864	-2.91341	45.77884	0.38689
45.80915	-2.91391	45.80935	0.38639
45.84445	-2.91415	45.84465	0.38615
45.87667	-2.91456	45.87687	0.38574
45.91139	-2.91473	45.91159	0.38557
45.94339	-2.91472	45.94359	0.38558
45.97674	-2.91486	45.97694	0.38544
46.01023	-2.91498	46.01043	0.38532
46.04319	-2.9152	46.04339	0.3851
46.07522	-2.91488	46.07542	0.38542
46.10886	-2.91457	46.10906	0.38573
46.14111	-2.91438	46.14131	0.38592
46.17218	-2.91398	46.17238	0.38632
46.20574	-2.91382	46.20594	0.38648
46.23862	-2.91391	46.23882	0.38639
46.27007	-2.91443	46.27027	0.38587
46.30323	-2.91466	46.30343	0.38564
46.3343	-2.91506	46.3345	0.38524
46.36687	-2.91564	46.36707	0.38466
46.39813	-2.91632	46.39833	0.38398
46.42906	-2.91634	46.42926	0.38396
46.46181	-2.91672	46.46201	0.38358
46.49647	-2.91662	46.49667	0.38368
46.52731	-2.91695	46.52751	0.38335
46.56222	-2.91734	46.56242	0.38296
46.59526	-2.91691	46.59546	0.38339
46.62788	-2.91698	46.62808	0.38332
46.66214	-2.91686	46.66234	0.38344
46.69526	-2.91718	46.69546	0.38312
46.72834	-2.9176	46.72854	0.3827
46.76037	-2.9182	46.76057	0.3821
46.7934	-2.9181	46.7936	0.3822
46.82605	-2.91849	46.82625	0.38181
46.85751	-2.91859	46.85771	0.38171
46.89248	-2.91867	46.89268	0.38163
46.92353	-2.91846	46.92373	0.38184
46.95697	-2.91814	46.95717	0.38216
46.98861	-2.91801	46.98881	0.38229
47.02243	-2.91805	47.02263	0.38225
47.05662	-2.918	47.05682	0.3823
47.08784	-2.91768	47.08804	0.38262
47.11985	-2.91746	47.12005	0.38284
47.15261	-2.91777	47.15281	0.38253
47.18521	-2.91711	47.18541	0.38319
47.2185	-2.91696	47.2187	0.38334
47.25195	-2.91737	47.25215	0.38293
47.28298	-2.91706	47.28318	0.38324
47.31588	-2.91707	47.31608	0.38323
47.34956	-2.91724	47.34976	0.38306
47.38348	-2.91802	47.38368	0.38228
47.41576	-2.91861	47.41596	0.38169
47.44774	-2.91882	47.44794	0.38148
47.48069	-2.91881	47.48089	0.38149
47.51365	-2.91857	47.51385	0.38173
47.54944	-2.91815	47.54964	0.38215
47.58164	-2.91877	47.58184	0.38153
47.61505	-2.91892	47.61525	0.38138
47.64921	-2.91871	47.64941	0.38159
47.68377	-2.91858	47.68397	0.38172
47.71614	-2.91899	47.71634	0.38131
47.74993	-2.91938	47.75013	0.38092
47.78284	-2.92012	47.78304	0.38019
47.81626	-2.92051	47.81646	0.37979
47.85025	-2.92125	47.85045	0.37905
47.88269	-2.92141	47.88289	0.37889
47.91696	-2.92202	47.91716	0.37828
47.94917	-2.92208	47.94937	0.37822
47.98239	-2.92244	47.98259	0.37786
48.01619	-2.92242	48.01639	0.37788
48.04781	-2.92191	48.04801	0.37839
48.08122	-2.92167	48.08142	0.37863
48.11418	-2.92181	48.11438	0.37849
48.14551	-2.92168	48.14571	0.37862
48.17769	-2.92127	48.17789	0.37903
48.21256	-2.92096	48.21276	0.37934
48.2456	-2.92126	48.2458	0.37904
48.27812	-2.92125	48.27832	0.37905
48.3101	-2.9212	48.3103	0.3791
48.34451	-2.92111	48.34471	0.37919
48.3772	-2.9212	48.3774	0.3791
48.41037	-2.92181	48.41057	0.37849
48.44441	-2.92255	48.44461	0.37775
48.47595	-2.92316	48.47615	0.37714
48.50801	-2.92354	48.50821	0.37676
48.53944	-2.92362	48.53964	0.37668
48.57438	-2.92358	48.57458	0.37672
48.60849	-2.92322	48.60869	0.37708
48.64188	-2.92309	48.64208	0.37721
48.67152	-2.92335	48.67172	0.37695
48.70513	-2.92293	48.70533	0.37737
48.74066	-2.92292	48.74086	0.37738
48.77245	-2.92366	48.77265	0.37664
48.80595	-2.92381	48.80615	0.37649
48.84061	-2.92449	48.84081	0.37581
48.87501	-2.92518	48.87521	0.37512
48.90906	-2.92525	48.90926	0.37505
48.94055	-2.92554	48.94075	0.37476
48.9751	-2.92565	48.9753	0.37465
49.00695	-2.92548	49.00715	0.37482
49.03936	-2.92512	49.03956	0.37518
49.07388	-2.92479	49.07408	0.37551
49.10695	-2.92451	49.10715	0.37579
49.1421	-2.9247	49.1423	0.3756
49.17439	-2.92538	49.17459	0.37492
49.20605	-2.92646	49.20625	0.37384
49.23725	-2.92675	49.23745	0.37355
49.27024	-2.9277	49.27044	0.3726
49.30533	-2.9283	49.30553	0.372
49.33759	-2.92803	49.33779	0.37227
49.36912	-2.92825	49.36932	0.37205
49.40221	-2.92777	49.40241	0.37253
49.43439	-2.92745	49.43459	0.37285
49.46653	-2.9272	49.46673	0.3731
49.49687	-2.92694	49.49707	0.37336
49.53155	-2.9271	49.53175	0.3732
49.56491	-2.92708	49.56511	0.37322
49.59911	-2.92749	49.59931	0.37281
49.62963	-2.92763	49.62983	0.37267
49.66714	-2.92777	49.66734	0.37253
49.70075	-2.92742	49.70095	0.37288
49.73358	-2.92758	49.73378	0.37272
49.76476	-2.92825	49.76496	0.37205
49.79597	-2.92863	49.79617	0.37167
49.82998	-2.9282	49.83018	0.3721
49.86399	-2.92832	49.86419	0.37198
49.89726	-2.92796	49.89746	0.37234
49.93307	-2.92815	49.93327	0.37215
49.9629	-2.92781	49.9631	0.37249
49.99605	-2.92798	49.99625	0.37232
50.03314	-2.92813	50.03334	0.37217
50.06445	-2.92843	50.06465	0.37187
50.09665	-2.9292	50.09685	0.37111
50.13058	-2.93007	50.13078	0.37023
50.16187	-2.93039	50.16207	0.36991
50.19467	-2.93114	50.19487	0.36916
50.22773	-2.93168	50.22793	0.36862
50.26167	-2.93178	50.26187	0.36852
50.295	-2.93192	50.2952	0.36838
50.32812	-2.9311	50.32832	0.3692
50.3614	-2.93157	50.3616	0.36873
50.39535	-2.93241	50.39555	0.36789
50.4288	-2.93253	50.429	0.36777
50.46246	-2.93179	50.46266	0.36851
50.496	-2.93152	50.4962	0.36878
50.53004	-2.93095	50.53024	0.36935
50.56301	-2.9315	50.56321	0.3688
50.59667	-2.93067	50.59687	0.36963
50.62959	-2.93066	50.62979	0.36964
50.66194	-2.93037	50.66214	0.36993
50.69475	-2.93059	50.69495	0.36971
50.72741	-2.93056	50.72761	0.36974
50.76219	-2.93141	50.76239	0.36889
50.79613	-2.93164	50.79633	0.36867
50.83029	-2.93243	50.83049	0.36787
50.86047	-2.93288	50.86067	0.36742
50.8931	-2.9331	50.8933	0.3672
50.92706	-2.93351	50.92726	0.36679
50.95946	-2.93415	50.95966	0.36615
50.99427	-2.93443	50.99447	0.36587
51.02943	-2.93501	51.02963	0.36529
51.05868	-2.93556	51.05888	0.36474
51.09298	-2.93574	51.09318	0.36456
51.12481	-2.93553	51.12501	0.36477
51.15778	-2.9347	51.15798	0.3656
51.18941	-2.93377	51.18961	0.36653
51.22418	-2.93295	51.22438	0.36735
51.25921	-2.93285	51.25941	0.36745
51.28777	-2.93305	51.28797	0.36725
51.32257	-2.93332	51.32277	0.36698
51.35769	-2.93384	51.35789	0.36646
51.39324	-2.93483	51.39344	0.36547
51.42505	-2.93516	51.42525	0.36514
51.45794	-2.93552	51.45814	0.36478
51.49318	-2.93602	51.49338	0.36428
51.52581	-2.93624	51.52601	0.36406
51.55817	-2.93659	51.55837	0.36371
51.59129	-2.9367	51.59149	0.3636
51.62447	-2.93716	51.62467	0.36314
51.65742	-2.93779	51.65762	0.36251
51.68985	-2.93837	51.69005	0.36193
51.72364	-2.9384	51.72384	0.3619
51.75728	-2.93833	51.75748	0.36197
51.79403	-2.93785	51.79423	0.36245
51.82754	-2.93682	51.82774	0.36348
51.85833	-2.93683	51.85853	0.36347
51.8942	-2.9367	51.8944	0.3636
51.92582	-2.93693	51.92602	0.36337
51.95875	-2.93701	51.95895	0.36329
51.9937	-2.93723	51.9939	0.36307
52.02671	-2.9378	52.02691	0.3625
52.05907	-2.93852	52.05927	0.36178
52.09133	-2.93925	52.09153	0.36105
52.12441	-2.93947	52.12461	0.36083
52.15905	-2.94014	52.15925	0.36016
52.19203	-2.94065	52.19223	0.35965
52.22367	-2.94059	52.22387	0.35972
52.25744	-2.94101	52.25764	0.35929
52.29073	-2.94147	52.29093	0.35883
52.32376	-2.94127	52.32396	0.35903
52.35675	-2.94143	52.35695	0.35887
52.39011	-2.94131	52.39031	0.35899
52.42482	-2.94117	52.42502	0.35913
52.45924	-2.94085	52.45944	0.35945
52.49104	-2.94108	52.49124	0.35922
52.5238	-2.94156	52.524	0.35874
52.55734	-2.94109	52.55754	0.35921
52.59089	-2.94095	52.59109	0.35935
52.62154	-2.94128	52.62174	0.35902
52.65651	-2.94144	52.65671	0.35886
52.69048	-2.94228	52.69068	0.35802
52.72251	-2.94231	52.72271	0.35799
52.75515	-2.94247	52.75535	0.35783
52.78886	-2.94296	52.78906	0.35734
52.82099	-2.94339	52.82119	0.35691
52.85379	-2.94448	52.85399	0.35582
52.88919	-2.94498	52.88939	0.35532
52.92154	-2.94464	52.92174	0.35566
52.95433	-2.94475	52.95453	0.35555
52.98712	-2.94494	52.98732	0.35536
53.02106	-2.9447	53.02126	0.3556
53.05357	-2.94441	53.05377	0.35589
53.08659	-2.94426	53.08679	0.35604
53.12035	-2.94445	53.12055	0.35585
53.15291	-2.944	53.15311	0.3563
53.18626	-2.94354	53.18646	0.35676
53.21893	-2.9436	53.21913	0.3567
53.25231	-2.94345	53.25251	0.35685
53.28495	-2.94378	53.28515	0.35652
53.31746	-2.94427	53.31766	0.35603
53.35015	-2.94504	53.35035	0.35526
53.38358	-2.94515	53.38378	0.35515
53.41363	-2.94536	53.41383	0.35494
53.44558	-2.94606	53.44578	0.35424
53.47862	-2.94693	53.47882	0.35337
53.51306	-2.94778	53.51326	0.35252
53.5461	-2.94764	53.5463	0.35266
53.57976	-2.9477	53.57996	0.3526
53.61398	-2.94781	53.61418	0.35249
53.64616	-2.94773	53.64636	0.35257
53.67964	-2.94808	53.67984	0.35222
53.71392	-2.948	53.71412	0.3523
53.74511	-2.94834	53.74531	0.35196
53.7822	-2.94854	53.7824	0.35176
53.8185	-2.94944	53.8187	0.35086
53.84726	-2.94991	53.84746	0.35039
53.88172	-2.95043	53.88192	0.34987
53.91547	-2.94981	53.91567	0.35049
53.94809	-2.94933	53.94829	0.35097
53.98149	-2.94974	53.98169	0.35056
54.01516	-2.94935	54.01536	0.35095
54.04771	-2.94935	54.04791	0.35095
54.08121	-2.94917	54.08141	0.35113
54.11523	-2.94951	54.11543	0.35079
54.15042	-2.9495	54.15062	0.3508
54.18036	-2.94963	54.18056	0.35067
54.21218	-2.94954	54.21238	0.35076
54.24565	-2.94939	54.24585	0.35091
54.27772	-2.94968	54.27792	0.35062
54.31334	-2.94971	54.31354	0.35059
54.3429	-2.94958	54.3431	0.35072
54.37792	-2.95014	54.37812	0.35016
54.41262	-2.95068	54.41282	0.34962
54.44534	-2.95057	54.44554	0.34973
54.47708	-2.9504	54.47728	0.3499
54.51073	-2.95068	54.51093	0.34962
54.54303	-2.9511	54.54323	0.3492
54.576	-2.95172	54.5762	0.34858
54.60888	-2.95238	54.60908	0.34792
54.64363	-2.95274	54.64383	0.34756
54.67745	-2.95309	54.67765	0.34721
54.7114	-2.95331	54.7116	0.34699
54.74248	-2.95377	54.74268	0.34653
54.77601	-2.95438	54.77621	0.34592
54.80813	-2.95505	54.80833	0.34525
54.84095	-2.95525	54.84115	0.34505
54.87643	-2.95474	54.87663	0.34556
54.90764	-2.95452	54.90784	0.34578
54.94219	-2.95427	54.94239	0.34603
54.97677	-2.95406	54.97697	0.34624
55.01008	-2.95446	55.01028	0.34584
55.04236	-2.95435	55.04256	0.34595
55.07653	-2.95473	55.07673	0.34557
55.10796	-2.95545	55.10816	0.34485
55.14093	-2.95544	55.14113	0.34486
55.17451	-2.95605	55.17471	0.34425
55.20892	-2.95609	55.20912	0.34421
55.24312	-2.95658	55.24332	0.34373
55.2766	-2.95666	55.2768	0.34364
55.30781	-2.95759	55.30801	0.34271
55.3386	-2.95697	55.3388	0.34333
55.37421	-2.95729	55.37441	0.34301
55.40685	-2.95754	55.40705	0.34276
55.44049	-2.95777	55.44069	0.34253
55.47296	-2.95789	55.47316	0.34241
55.50733	-2.95811	55.50753	0.34219
55.53965	-2.95805	55.53985	0.34225
55.57289	-2.95786	55.57309	0.34244
55.60693	-2.95842	55.60713	0.34188
55.63878	-2.95886	55.63898	0.34144
55.67324	-2.95961	55.67344	0.34069
55.70559	-2.95963	55.70579	0.34067
55.73633	-2.9601	55.73653	0.3402
55.77201	-2.95978	55.77221	0.34052
55.80472	-2.96008	55.80492	0.34022
55.83769	-2.96072	55.83789	0.33958
55.873	-2.96063	55.8732	0.33967
55.90455	-2.96066	55.90475	0.33964
55.93798	-2.96139	55.93818	0.33891
55.9723	-2.96186	55.9725	0.33844
56.00451	-2.96172	56.00471	0.33858
56.0388	-2.96205	56.039	0.33825
56.07093	-2.96236	56.07113	0.33794
56.10474	-2.96191	56.10494	0.33839
56.13914	-2.96195	56.13934	0.33835
56.17365	-2.96265	56.17385	0.33765
56.20616	-2.96298	56.20636	0.33732
56.23927	-2.96216	56.23947	0.33814
56.27234	-2.96211	56.27254	0.33819
56.3048	-2.96237	56.305	0.33793
56.3381	-2.96178	56.3383	0.33852
56.37006	-2.96241	56.37026	0.33789
56.40447	-2.96348	56.40467	0.33682
56.43623	-2.96474	56.43643	0.33556
56.46902	-2.96529	56.46922	0.33501
56.5026	-2.96572	56.5028	0.33458
56.53694	-2.96666	56.53714	0.33364
56.57056	-2.96685	56.57076	0.33345
56.6048	-2.9668	56.605	0.3335
56.6381	-2.9669	56.6383	0.3334
56.67462	-2.96743	56.67482	0.33287
56.70619	-2.96741	56.70639	0.33289
56.73642	-2.96804	56.73662	0.33226
56.7734	-2.96846	56.7736	0.33184
56.80428	-2.96896	56.80448	0.33134
56.83585	-2.96934	56.83605	0.33096
56.8688	-2.96997	56.869	0.33033
56.90134	-2.96966	56.90154	0.33064
56.93495	-2.9697	56.93515	0.3306
56.96978	-2.96953	56.96998	0.33077
57.00337	-2.96947	57.00357	0.33083
57.03742	-2.96968	57.03762	0.33062
57.06991	-2.9699	57.07011	0.3304
57.103	-2.96973	57.1032	0.33057
57.13613	-2.96996	57.13633	0.33034
57.16845	-2.97023	57.16865	0.33007
57.20247	-2.97031	57.20267	0.32999
57.23816	-2.971	57.23836	0.3293
57.26924	-2.97155	57.26944	0.32875
57.30249	-2.97282	57.30269	0.32748
57.33218	-2.97422	57.33238	0.32608
57.36297	-2.97509	57.36317	0.32521
57.39784	-2.9759	57.39804	0.3244
57.43197	-2.97598	57.43217	0.32432
57.46368	-2.9758	57.46388	0.3245
57.49725	-2.97507	57.49745	0.32523
57.52879	-2.97481	57.52899	0.32549
57.56172	-2.97498	57.56192	0.32532
57.59675	-2.97476	57.59695	0.32554
57.63183	-2.97442	57.63203	0.32588
57.66292	-2.97439	57.66312	0.32591
57.69715	-2.97548	57.69735	0.32482
57.73115	-2.97633	57.73135	0.32397
57.76289	-2.97697	57.76309	0.32333
57.79635	-2.97738	57.79655	0.32292
57.82886	-2.97743	57.82906	0.32287
57.86332	-2.97787	57.86352	0.32243
57.89555	-2.97897	57.89575	0.32133
57.93067	-2.97931	57.93087	0.32099
57.96337	-2.97985	57.96357	0.32045
57.99725	-2.98053	57.99745	0.31977
58.03258	-2.98098	58.03278	0.31932
58.06633	-2.98148	58.06653	0.31882
58.09842	-2.9816	58.09862	0.3187
58.13047	-2.98176	58.13067	0.31854
58.16215	-2.98163	58.16235	0.31867
58.19582	-2.98214	58.19602	0.31816
58.2277	-2.98177	58.2279	0.31853
58.26051	-2.98132	58.26071	0.31898
58.29507	-2.9814	58.29527	0.3189
58.32891	-2.98192	58.32911	0.31838
58.3607	-2.98247	58.3609	0.31783
58.39316	-2.98342	58.39336	0.31688
58.42821	-2.9846	58.42841	0.3157
58.45976	-2.98536	58.45996	0.31494
58.49292	-2.98598	58.49312	0.31432
58.5273	-2.98636	58.5275	0.31394
58.5597	-2.98638	58.5599	0.31392
58.59363	-2.98661	58.59383	0.31369
58.62616	-2.98669	58.62636	0.31361
58.66259	-2.98669	58.66279	0.31361
58.6946	-2.98663	58.6948	0.31367
58.72787	-2.98661	58.72807	0.31369
58.76138	-2.9862	58.76158	0.3141
58.79253	-2.98623	58.79273	0.31407
58.828	-2.98641	58.8282	0.31389
58.85849	-2.98768	58.85869	0.31262
58.89241	-2.98855	58.89261	0.31175
58.92477	-2.98905	58.92497	0.31125
58.95643	-2.98963	58.95663	0.31067
58.99039	-2.99054	58.99059	0.30976
59.02358	-2.991	59.02378	0.3093
59.05768	-2.9916	59.05788	0.3087
59.08794	-2.9917	59.08814	0.3086
59.12013	-2.99208	59.12033	0.30822
59.15506	-2.99227	59.15526	0.30803
59.18896	-2.99192	59.18916	0.30838
59.2224	-2.99289	59.2226	0.30741
59.25479	-2.99296	59.25499	0.30734
59.287	-2.99243	59.2872	0.30787
59.32169	-2.99202	59.32189	0.30828
59.35467	-2.99199	59.35487	0.30831
59.38852	-2.99284	59.38872	0.30746
59.42295	-2.99294	59.42315	0.30736
59.45564	-2.99365	59.45584	0.30665
59.48834	-2.99404	59.48854	0.30626
59.52118	-2.99345	59.52138	0.30685
59.55744	-2.99354	59.55764	0.30676
59.59003	-2.99407	59.59023	0.30623
59.62092	-2.99425	59.62112	0.30605
59.65286	-2.99393	59.65306	0.30637
59.68681	-2.99361	59.68701	0.30669
59.72004	-2.99451	59.72024	0.30579
59.75177	-2.99535	59.75197	0.30495
59.78356	-2.996	59.78376	0.3043
59.81661	-2.99651	59.81681	0.30379
59.84998	-2.99712	59.85018	0.30318
59.88747	-2.99714	59.88767	0.30316
59.92028	-2.99734	59.92048	0.30296
59.95316	-2.99798	59.95336	0.30232
59.98333	-2.99926	59.98353	0.30104
60.01685	-3.0002	60.01705	0.3001
60.04929	-3.00008	60.04949	0.30022
60.08458	-3	60.08478	0.3003
60.11503	-3.0001	60.11523	0.3002
60.15035	-2.99993	60.15055	0.30037
60.181	-2.99978	60.1812	0.30052
60.21561	-3.00019	60.21581	0.30011
60.24945	-3.00034	60.24965	0.29996
60.28423	-3.00023	60.28443	0.30007
60.31769	-3.00062	60.31789	0.29968
60.35231	-3.00113	60.35251	0.29917
60.38476	-3.00194	60.38496	0.29836
60.41789	-3.00288	60.41809	0.29742
60.45038	-3.00401	60.45058	0.29629
60.48532	-3.00505	60.48552	0.29525
60.51922	-3.00588	60.51942	0.29442
60.55152	-3.00571	60.55172	0.29459
60.58226	-3.00522	60.58246	0.29508
60.61457	-3.00529	60.61477	0.29501
60.64975	-3.00514	60.64995	0.29516
60.68429	-3.00573	60.68449	0.29457
60.71518	-3.00699	60.71538	0.29331
60.74822	-3.008	60.74842	0.2923
60.78196	-3.00854	60.78216	0.29176
60.81463	-3.00934	60.81483	0.29096
60.84704	-3.009	60.84724	0.2913
60.88321	-3.00848	60.88341	0.29182
60.91505	-3.00883	60.91525	0.29147
60.95143	-3.00926	60.95163	0.29104
60.98357	-3.00973	60.98377	0.29057
61.01696	-3.00986	61.01716	0.29044
61.04939	-3.01023	61.04959	0.29007
61.08202	-3.01072	61.08222	0.28958
61.11642	-3.01156	61.11662	0.28874
61.15066	-3.01212	61.15086	0.28818
61.18428	-3.01292	61.18448	0.28738
61.21542	-3.01325	61.21562	0.28706
61.24878	-3.01372	61.24898	0.28658
61.27819	-3.01357	61.27839	0.28673
61.31334	-3.01364	61.31354	0.28666
61.34761	-3.01363	61.34781	0.28667
61.37926	-3.01298	61.37946	0.28732
61.4125	-3.0135	61.4127	0.2868
61.44597	-3.0142	61.44617	0.2861
