A	B	C
10	16.75	1.177
20	16.75	1.135
30	16.75	1.138
40	16.75	1.151
50	16.75	1.291
60	16.75	2.009
70	16.75	5.112
0	16.76	0.941
10	16.76	1.116
20	16.76	1.176
30	16.76	1.138
40	16.76	1.141
50	16.76	1.294
60	16.76	1.838
70	16.76	4.919
0	16.77	0.905
10	16.77	1.117
20	16.77	1.18
30	16.77	1.203
40	16.77	1.104
50	16.77	1.336
60	16.77	1.63
70	16.77	4.794
0	16.78	0.936
10	16.78	1.112
20	16.78	1.084
30	16.78	1.148
40	16.78	1.207
50	16.78	1.213
60	16.78	1.543
70	16.78	4.425
0	16.79	0.851
10	16.79	1.136
20	16.79	1.153
30	16.79	1.102
40	16.79	1.18
50	16.79	1.248
60	16.79	1.45
70	16.79	4.206
0	16.8	0.919
10	16.8	1.072
20	16.8	1.153
30	16.8	1.085
40	16.8	1.21
50	16.8	1.3
60	16.8	1.366
70	16.8	4.077
0	16.81	0.94
10	16.81	1.13
20	16.81	1.173
30	16.81	1.044
40	16.81	1.176
50	16.81	1.248
60	16.81	1.393
70	16.81	3.695
0	16.82	0.894
10	16.82	1.134
20	16.82	1.157
30	16.82	1.17
40	16.82	1.242
50	16.82	1.225
60	16.82	1.407
70	16.82	3.491
0	16.83	0.922
10	16.83	1.168
20	16.83	1.18
30	16.83	1.203
40	16.83	1.107
50	16.83	1.242
60	16.83	1.305
70	16.83	3.185
0	16.84	0.918
10	16.84	1.264
20	16.84	1.171
30	16.84	1.18
40	16.84	1.23
50	16.84	1.204
60	16.84	1.319
70	16.84	2.897
0	16.85	0.976
10	16.85	1.279
20	16.85	1.273
30	16.85	1.223
40	16.85	1.118
50	16.85	1.137
60	16.85	1.339
70	16.85	2.643
0	16.86	1.044
10	16.86	1.363
20	16.86	1.288
30	16.86	1.289
40	16.86	1.233
50	16.86	1.226
60	16.86	1.273
70	16.86	2.442
0	16.87	1.124
10	16.87	1.334
20	16.87	1.286
30	16.87	1.265
40	16.87	1.244
50	16.87	1.154
60	16.87	1.252
70	16.87	2.232
0	16.88	1.082
10	16.88	1.362
20	16.88	1.345
30	16.88	1.245
40	16.88	1.181
50	16.88	1.255
60	16.88	1.293
70	16.88	2.036
0	16.89	1.124
10	16.89	1.347
20	16.89	1.339
30	16.89	1.341
40	16.89	1.288
50	16.89	1.254
60	16.89	1.19
70	16.89	1.943
0	16.9	1.183
10	16.9	1.346
20	16.9	1.362
30	16.9	1.334
40	16.9	1.271
50	16.9	1.291
60	16.9	1.234
70	16.9	1.734
0	16.91	1.175
10	16.91	1.448
20	16.91	1.358
30	16.91	1.307
40	16.91	1.203
50	16.91	1.244
60	16.91	1.3
70	16.91	1.621
0	16.92	1.172
10	16.92	1.355
20	16.92	1.381
30	16.92	1.297
40	16.92	1.292
50	16.92	1.248
60	16.92	1.326
70	16.92	1.503
0	16.93	1.151
10	16.93	1.365
20	16.93	1.384
30	16.93	1.273
40	16.93	1.316
50	16.93	1.262
60	16.93	1.302
70	16.93	1.494
0	16.94	1.131
10	16.94	1.364
20	16.94	1.381
30	16.94	1.385
40	16.94	1.268
50	16.94	1.225
60	16.94	1.263
70	16.94	1.436
0	16.95	1.101
10	16.95	1.356
20	16.95	1.341
30	16.95	1.329
40	16.95	1.275
50	16.95	1.269
60	16.95	1.285
70	16.95	1.308
0	16.96	1.055
10	16.96	1.399
20	16.96	1.346
30	16.96	1.282
40	16.96	1.326
50	16.96	1.272
60	16.96	1.231
70	16.96	1.337
0	16.97	1.145
10	16.97	1.347
20	16.97	1.307
30	16.97	1.363
40	16.97	1.326
50	16.97	1.257
60	16.97	1.242
70	16.97	1.33
0	16.98	1.131
10	16.98	1.379
20	16.98	1.334
30	16.98	1.293
40	16.98	1.254
50	16.98	1.263
60	16.98	1.229
70	16.98	1.25
0	16.99	1.142
10	16.99	1.398
20	16.99	1.313
30	16.99	1.248
40	16.99	1.295
50	16.99	1.273
60	16.99	1.235
70	16.99	1.212
0	17	1.133
10	17	1.348
20	17	1.399
30	17	1.316
40	17	1.296
50	17	1.289
60	17	1.185
70	17	1.242
0	17.01	1.117
10	17.01	1.353
20	17.01	1.299
30	17.01	1.285
40	17.01	1.297
50	17.01	1.215
60	17.01	1.249
70	17.01	1.201
0	17.02	1.098
10	17.02	1.279
20	17.02	1.276
30	17.02	1.255
40	17.02	1.187
50	17.02	1.247
60	17.02	1.245
70	17.02	1.221
0	17.03	1.057
10	17.03	1.339
20	17.03	1.285
30	17.03	1.217
40	17.03	1.211
50	17.03	1.168
60	17.03	1.143
70	17.03	1.212
0	17.04	1.079
10	17.04	1.265
20	17.04	1.325
30	17.04	1.205
40	17.04	1.2
50	17.04	1.178
60	17.04	1.226
70	17.04	1.194
0	17.05	0.962
10	17.05	1.224
20	17.05	1.313
30	17.05	1.223
40	17.05	1.155
50	17.05	1.223
60	17.05	1.19
70	17.05	1.168
0	17.06	1.04
10	17.06	1.212
20	17.06	1.194
30	17.06	1.263
40	17.06	1.177
50	17.06	1.222
60	17.06	1.245
70	17.06	1.151
0	17.07	1.03
10	17.07	1.221
20	17.07	1.151
30	17.07	1.123
40	17.07	1.133
50	17.07	1.133
60	17.07	1.246
70	17.07	1.165
0	17.08	1.007
10	17.08	1.157
20	17.08	1.201
30	17.08	1.159
40	17.08	1.124
50	17.08	1.136
60	17.08	1.146
70	17.08	1.136
0	17.09	1.006
10	17.09	1.106
20	17.09	1.17
30	17.09	1.103
40	17.09	1.074
50	17.09	1.134
60	17.09	1.198
70	17.09	1.102
0	17.1	0.947
10	17.1	1.048
20	17.1	1.113
30	17.1	1.089
40	17.1	1.093
50	17.1	1.107
60	17.1	1.188
70	17.1	1.162
0	17.11	0.908
10	17.11	1.058
20	17.11	1.102
30	17.11	1.076
40	17.11	1.152
50	17.11	1.117
60	17.11	1.167
70	17.11	1.103
0	17.12	0.894
10	17.12	1.038
20	17.12	1.09
30	17.12	1.095
40	17.12	1.113
50	17.12	1.077
60	17.12	1.101
70	17.12	1.195
0	17.13	0.918
10	17.13	1.081
20	17.13	1.057
30	17.13	0.996
40	17.13	1.055
50	17.13	1.059
60	17.13	1.082
70	17.13	1.067
0	17.14	0.887
10	17.14	1.09
20	17.14	1.011
30	17.14	1.034
40	17.14	1.033
50	17.14	1.042
60	17.14	1.035
70	17.14	1.136
0	17.15	0.863
10	17.15	0.961
20	17.15	1.036
30	17.15	0.963
40	17.15	1.087
50	17.15	1.007
60	17.15	1.095
70	17.15	1.127
0	17.16	0.898
10	17.16	1.053
20	17.16	0.998
30	17.16	0.993
40	17.16	0.939
50	17.16	1.087
60	17.16	1.084
70	17.16	1.146
0	17.17	0.836
10	17.17	1.022
20	17.17	1.044
30	17.17	1.026
40	17.17	1.014
50	17.17	1.033
60	17.17	1.036
70	17.17	1.103
0	17.18	0.872
10	17.18	1.008
20	17.18	0.948
30	17.18	0.934
40	17.18	0.888
50	17.18	0.949
60	17.18	1.048
70	17.18	1.074
0	17.19	0.854
10	17.19	0.962
20	17.19	0.965
30	17.19	0.966
40	17.19	0.893
50	17.19	0.926
60	17.19	0.99
70	17.19	1.053
0	17.2	0.825
10	17.2	1.01
20	17.2	0.973
30	17.2	0.913
40	17.2	0.966
50	17.2	0.937
60	17.2	1.027
70	17.2	1.052
0	17.21	0.842
10	17.21	1.011
20	17.21	0.934
30	17.21	0.93
40	17.21	0.93
50	17.21	1.002
60	17.21	0.929
70	17.21	1.067
0	17.22	0.802
10	17.22	0.969
20	17.22	0.917
30	17.22	0.886
40	17.22	0.88
50	17.22	0.962
60	17.22	0.954
70	17.22	1.074
0	17.23	0.764
10	17.23	0.982
20	17.23	0.898
30	17.23	0.85
40	17.23	0.912
50	17.23	0.886
60	17.23	0.959
70	17.23	1.066
0	17.24	0.796
10	17.24	0.911
20	17.24	0.874
30	17.24	0.86
40	17.24	0.866
50	17.24	0.868
60	17.24	1.005
70	17.24	1.093
0	17.25	0.758
10	17.25	0.854
20	17.25	0.928
30	17.25	0.862
40	17.25	0.907
50	17.25	0.909
60	17.25	0.937
70	17.25	1.025
0	17.26	0.723
10	17.26	0.91
20	17.26	0.869
30	17.26	0.842
40	17.26	0.763
50	17.26	0.949
60	17.26	0.952
70	17.26	1.068
0	17.27	0.705
10	17.27	0.894
20	17.27	0.862
30	17.27	0.799
40	17.27	0.816
50	17.27	0.872
60	17.27	0.886
70	17.27	1.015
0	17.28	0.751
10	17.28	0.883
20	17.28	0.858
30	17.28	0.847
40	17.28	0.804
50	17.28	0.848
60	17.28	0.907
70	17.28	0.999
0	17.29	0.722
10	17.29	0.82
20	17.29	0.833
30	17.29	0.817
40	17.29	0.797
50	17.29	0.833
60	17.29	0.935
70	17.29	0.985
0	17.3	0.721
10	17.3	0.846
20	17.3	0.826
30	17.3	0.771
40	17.3	0.773
50	17.3	0.833
60	17.3	0.85
70	17.3	0.978
0	17.31	0.692
10	17.31	0.841
20	17.31	0.795
30	17.31	0.763
40	17.31	0.789
50	17.31	0.833
60	17.31	0.859
70	17.31	1.018
0	17.32	0.652
10	17.32	0.823
20	17.32	0.819
30	17.32	0.767
40	17.32	0.798
50	17.32	0.856
60	17.32	0.867
70	17.32	0.998
0	17.33	0.672
10	17.33	0.797
20	17.33	0.801
30	17.33	0.772
40	17.33	0.78
50	17.33	0.771
60	17.33	0.856
70	17.33	0.996
0	17.34	0.626
10	17.34	0.82
20	17.34	0.802
30	17.34	0.796
40	17.34	0.775
50	17.34	0.818
60	17.34	0.861
70	17.34	0.963
0	17.35	0.651
10	17.35	0.767
20	17.35	0.773
30	17.35	0.79
40	17.35	0.733
50	17.35	0.786
60	17.35	0.815
70	17.35	0.918
0	17.36	0.632
10	17.36	0.839
20	17.36	0.752
30	17.36	0.741
40	17.36	0.785
50	17.36	0.808
60	17.36	0.823
70	17.36	0.966
0	17.37	0.645
10	17.37	0.854
20	17.37	0.801
30	17.37	0.745
40	17.37	0.729
50	17.37	0.738
60	17.37	0.806
70	17.37	1
0	17.38	0.701
10	17.38	0.775
20	17.38	0.747
30	17.38	0.774
40	17.38	0.773
50	17.38	0.838
60	17.38	0.849
70	17.38	0.891
0	17.39	0.662
10	17.39	0.82
20	17.39	0.772
30	17.39	0.771
40	17.39	0.754
50	17.39	0.778
60	17.39	0.825
70	17.39	0.908
0	17.4	0.625
10	17.4	0.729
20	17.4	0.745
30	17.4	0.707
40	17.4	0.71
50	17.4	0.787
60	17.4	0.867
70	17.4	0.898
0	17.41	0.641
10	17.41	0.796
20	17.41	0.806
30	17.41	0.75
40	17.41	0.729
50	17.41	0.762
60	17.41	0.793
70	17.41	0.922
0	17.42	0.671
10	17.42	0.768
20	17.42	0.74
30	17.42	0.726
40	17.42	0.736
50	17.42	0.726
60	17.42	0.817
70	17.42	0.915
0	17.43	0.652
10	17.43	0.771
20	17.43	0.737
30	17.43	0.752
40	17.43	0.707
50	17.43	0.73
60	17.43	0.867
70	17.43	0.901
0	17.44	0.669
10	17.44	0.804
20	17.44	0.78
30	17.44	0.748
40	17.44	0.762
50	17.44	0.762
60	17.44	0.791
70	17.44	0.898
0	17.45	0.629
10	17.45	0.769
20	17.45	0.731
30	17.45	0.73
40	17.45	0.674
50	17.45	0.732
60	17.45	0.784
70	17.45	0.877
0	17.46	0.647
10	17.46	0.787
20	17.46	0.858
30	17.46	0.711
40	17.46	0.707
50	17.46	0.787
60	17.46	0.851
70	17.46	0.937
0	17.47	0.634
10	17.47	0.782
20	17.47	0.751
30	17.47	0.744
40	17.47	0.725
50	17.47	0.705
60	17.47	0.797
70	17.47	0.856
0	17.48	0.668
10	17.48	0.818
20	17.48	0.721
30	17.48	0.768
40	17.48	0.801
50	17.48	0.766
60	17.48	0.722
70	17.48	0.834
0	17.49	0.621
10	17.49	0.818
20	17.49	0.773
30	17.49	0.727
40	17.49	0.751
50	17.49	0.776
60	17.49	0.812
70	17.49	0.89
0	17.5	0.658
10	17.5	0.779
20	17.5	0.786
30	17.5	0.765
40	17.5	0.742
50	17.5	0.806
60	17.5	0.746
70	17.5	0.865
