City	Longitude	Latitude	January	February	March	April	May	June	July	August	September	October	November	December	Annual
WILLIAMSPORT, PA	-77	41.2	25.5	28.5	38	49	59.5	67.8	72.4	70.9	63.1	51.3	40.8	30.7	49.9
WASHINGTON NAT'L AP, D.C.	-77	38.9	34.9	38.1	46.5	56.1	65.6	74.5	79.2	77.4	70.5	58.8	48.7	39.5	57.5
HARRISBURG, PA	-76.9	40.3	30.3	32.8	41.7	52.1	62	70.7	75.9	74	66.2	54.5	44.3	34.8	53.3
BALTIMORE, MD	-76.8	39.2	32.3	35.5	43.7	53.2	62.9	71.8	76.5	74.5	67.4	55.4	45.5	36.7	54.6
SYRACUSE, NY	-76.2	43	22.7	24.5	33.6	45.3	57.1	65.8	70.9	69.2	61.3	50.1	39.7	28.6	47.4
NORFOLK, VA	-76.2	36.9	40.1	42	49	57.4	66.3	74.5	79.1	77.4	72.1	61.1	52.3	44.2	59.6
BINGHAMTON, NY	-75.9	42.1	21.7	23.8	32.7	44.1	55.9	63.9	68.7	66.6	58.8	48.1	37.6	27.1	45.8
AVOCA, PA	-75.7	41.3	26.3	28.9	37.9	48.7	59.6	67.5	72.1	70.3	62.5	51.5	41.5	31.4	49.9
ALLENTOWN, PA	-75.5	40.6	27.1	29.9	38.8	49	59.6	68.5	73.3	71.2	63.4	52	42	32	50.6
WILMINGTON, DE	-75.5	39.7	31.5	34.2	42.7	52.4	62.5	71.5	76.6	75	67.7	55.8	45.9	36.4	54.4
CAPE HATTERAS, NC	-75.5	35.3	46.1	46.8	52.4	59.8	67.6	74.8	79.2	78.6	74.8	65.7	57.6	50	62.8
PHILADELPHIA, PA	-75	40.1	32.3	34.8	43.2	53.1	63.5	72.3	77.6	76.3	68.8	57.2	47.1	37.4	55.3
ATLANTIC CITY AP, NJ	-74.4	39.4	32.1	34.2	41.8	50.6	60.5	69.7	75.3	73.5	66.3	55.1	45.9	36.8	53.5
NEWARK, NJ	-74.2	40.7	31.3	33.8	42.2	52.3	62.7	71.9	77.2	75.5	67.8	56.4	46.4	36.4	54.5
NEW YORK C.PARK, NY	-74	40.8	32.1	34.6	42.5	52.5	62.6	71.2	76.5	75.1	67.5	56.6	47.1	37.3	54.6
ALBANY, NY	-73.8	42.6	22.2	25	35	46.6	58.1	66.3	71.1	69	60.6	49.3	39.2	28	47.6
BURLINGTON, VT	-73.2	44.5	18	19.9	30.7	43.5	56.5	65.6	70.6	68.2	59.4	47.7	37.1	24.8	45.2
BRIDGEPORT, CT	-73.2	41.2	29.9	31.9	39.5	48.9	59	68	74	73.1	65.7	54.7	45.1	35.1	52.1
ISLIP, NY	-73.2	40.7	30.9	32.4	39.8	49.1	59.2	68.5	74.6	73.1	65.8	54.3	44.9	35.7	52.4
HARTFORD, CT	-72.7	41.8	25.7	28.8	38	48.9	59.9	68.5	73.7	71.6	63.2	51.9	41.8	30.8	50.2
WORCESTER, MA	-71.8	42.3	23.6	26	34.3	45	56.3	64.7	70.1	68.3	60.2	49.6	39.6	28.9	47.2
MT. WASHINGTON, NH	-71.6	44.3	5.2	6.6	13.6	22.9	35.6	44.4	48.7	47.6	40.4	30.2	20.6	10.1	27.2
CONCORD, NH	-71.5	43.2	20.1	23.3	33.3	44.6	56	64.9	70	68.2	59.4	47.8	37.6	25.9	45.9
PROVIDENCE, RI	-71.4	41.8	28.7	30.9	38.8	48.6	58.7	67.6	73.3	71.9	64	53	43.8	33.8	51.1
BOSTON, MA	-71	42.4	29.3	31.5	38.9	48.3	58.5	68	73.9	72.3	64.7	54.1	44.9	34.8	51.6
PORTLAND, ME	-70.3	43.7	21.7	24.8	33.7	43.7	53.8	62.9	68.7	67.2	58.7	47.7	38.3	27.6	45.8
CARIBOU, ME	-68	46.8	9.5	13	24.6	38.1	51.6	60.8	65.6	63.4	53.8	42.8	30.6	16.4	39.2
