DATE	Personal Saving	DATE	Unit Labor Cost	DATE	Output Per Hour of All Persons	DATE	Durable Consumer Goods	Recession period	Recession period
						5/1/1981	42.7389		
						6/1/1981	42.4051		
						7/1/1981	42.6104		
						8/1/1981	42.3222		
						9/1/1981	41.3174		
						10/1/1981	41.1167		
						11/1/1981	40.383		
						12/1/1981	38.6696		
						1/1/1982	37.6116		
						2/1/1982	38.9756		
						3/1/1982	38.8237		
						4/1/1982	39.5932		
						5/1/1982	39.6062		
						6/1/1982	39.8942		
						7/1/1982	40.1401		
						8/1/1982	39.6043		
						9/1/1982	39.0425		
						10/1/1982	38.511		
						11/1/1982	38.5016		
						12/1/1982	38.429		
						1/1/1983	40.1306		
						2/1/1983	39.9982		
						3/1/1983	40.5694		
						4/1/1983	41.4522		
						5/1/1983	42.2743		
						6/1/1983	43.0089		
						7/1/1983	44.0201		
						8/1/1983	44.8232		
						9/1/1983	45.6304		
						10/1/1983	46.2033		
						11/1/1983	46.1751		
						12/1/1983	47.2316		
						1/1/1984	48.3524		
						2/1/1984	48.5042		
						3/1/1984	48.6348		
						4/1/1984	48.5563		
						5/1/1984	48.1139		
						6/1/1984	48.2571		
						7/1/1984	48.8099		
						8/1/1984	49.0942		
						9/1/1984	48.4291		
						10/1/1984	48.0042		
						11/1/1984	48.7566		
						12/1/1984	49.3259		
						1/1/1985	48.6942		
						2/1/1985	48.2511		
						3/1/1985	48.7633		
						4/1/1985	48.1187		
						5/1/1985	48.1355		
						6/1/1985	48.0879		
						7/1/1985	48.1417		
						8/1/1985	48.6747		
						9/1/1985	48.6231		
						10/1/1985	48.3804		
						11/1/1985	49.5112		
						12/1/1985	49.6535		
						1/1/1986	50.9743		
						2/1/1986	50.5752		
						3/1/1986	50.6087		
						4/1/1986	50.4369		
						5/1/1986	50.5699		
						6/1/1986	51.1934		
						7/1/1986	51.8238		
						8/1/1986	52.0094		
						9/1/1986	52.4989		
						10/1/1986	52.5429		
						11/1/1986	53.2035		
						12/1/1986	54.1906		
						1/1/1987	53.9184		
						2/1/1987	54.6912		
						3/1/1987	54.4466		
						4/1/1987	54.0567		
						5/1/1987	54.4064		
						6/1/1987	53.8733		
						7/1/1987	53.714		
						8/1/1987	54.2301		
						9/1/1987	54.7728		
						10/1/1987	56.5832		
						11/1/1987	56.5057		
						12/1/1987	56.0851		
						1/1/1988	55.8432		
						2/1/1988	55.8365		
						3/1/1988	56.3621		
						4/1/1988	57.6952		
						5/1/1988	57.7311		
						6/1/1988	57.9874		
						7/1/1988	56.6319		
						8/1/1988	57.1737		
						9/1/1988	58.3603		
						10/1/1988	58.9439		
						11/1/1988	59.6185		
						12/1/1988	60.3399		
						1/1/1989	61.6454		
						2/1/1989	60.9305		
						3/1/1989	60.0521		
						4/1/1989	60.4754		
						5/1/1989	59.1618		
						6/1/1989	58.425		
						7/1/1989	56.5074		
						8/1/1989	58.7011		
						9/1/1989	58.6325		
						10/1/1989	57.5865		
						11/1/1989	57.9478		
						12/1/1989	58.6087		
						1/1/1990	55.2149		
						2/1/1990	58.8165		
						3/1/1990	59.8907		
						4/1/1990	58.5711		
						5/1/1990	59.043		
						6/1/1990	59.8225		
						7/1/1990	58.2539		
						8/1/1990	58.0922		
						9/1/1990	58.4389		
						10/1/1990	56.4658		
						11/1/1990	53.4269		
						12/1/1990	52.5755		
						1/1/1991	52.6274		
						2/1/1991	51.433		
						3/1/1991	51.7158		
						4/1/1991	52.7551		
						5/1/1991	53.7562		
						6/1/1991	55.2074		
						7/1/1991	56.112		
						8/1/1991	55.3154		
						9/1/1991	57.5788		
						10/1/1991	57.3197		
						11/1/1991	57.3819		
						12/1/1991	56.9422		
						1/1/1992	54.5856		
						2/1/1992	56.7393		
						3/1/1992	57.9536		
						4/1/1992	59.1663		
						5/1/1992	61.0623		
						6/1/1992	60.2893		
						7/1/1992	61.8947		
						8/1/1992	61.3598		
						9/1/1992	61.0038		
						10/1/1992	62.276		
						11/1/1992	62.7522		
						12/1/1992	63.4909		
						1/1/1993	64.5419		
						2/1/1993	64.1331		
						3/1/1993	64.4842		
						4/1/1993	64.902		
						5/1/1993	64.9907		
						6/1/1993	64.4929		
						7/1/1993	64.4391		
						8/1/1993	63.848		
						9/1/1993	65.1318		
						10/1/1993	66.8022		
						11/1/1993	67.456		
						12/1/1993	67.824		
						1/1/1994	69.1454		
						2/1/1994	69.0388		
						3/1/1994	69.6695		
						4/1/1994	70.484		
						5/1/1994	70.8579		
						6/1/1994	71.5861		
						7/1/1994	71.7534		
						8/1/1994	73.1026		
						9/1/1994	73.2962		
						10/1/1994	74.0625		
						11/1/1994	73.8678		
						12/1/1994	74.7292		
						1/1/1995	75.429		
						2/1/1995	75.2477		
						3/1/1995	75.117		
						4/1/1995	74.8649		
						5/1/1995	74.1685		
						6/1/1995	74.7277		
						7/1/1995	73.127		
						8/1/1995	75.665		
						9/1/1995	76.4582		
						10/1/1995	75.5684		
						11/1/1995	75.7002		
						12/1/1995	76.3422		
						1/1/1996	74.2453		
						2/1/1996	76.6016		
						3/1/1996	74.0053		
						4/1/1996	77.7489		
						5/1/1996	78.1232		
						6/1/1996	79.926		
						7/1/1996	80.2925		
						8/1/1996	79.551		
						9/1/1996	79.6285		
						10/1/1996	78.1509		
						11/1/1996	79.2798		
						12/1/1996	80.5578		
						1/1/1997	80.119		
						2/1/1997	81.3123		
						3/1/1997	82.4104		
						4/1/1997	79.9773		
						5/1/1997	81.0298		
						6/1/1997	82.7402		
						7/1/1997	80.8894		
						8/1/1997	84.7515		
						9/1/1997	86.0507		
						10/1/1997	86.4154		
						11/1/1997	88.629		
						12/1/1997	88.4289		
						1/1/1998	88.8038		
						2/1/1998	88.4253		
						3/1/1998	88.8041		
						4/1/1998	89.2454		
						5/1/1998	89.7781		
						6/1/1998	85.3385		
						7/1/1998	81.5265		
						8/1/1998	92.2961		
						9/1/1998	91.6755		
						10/1/1998	93.668		
						11/1/1998	93.2733		
						12/1/1998	93.8373		
						1/1/1999	94.0063		
						2/1/1999	94.5265		
						3/1/1999	94.0926		
						4/1/1999	94.981		
						5/1/1999	96.0137		
						6/1/1999	95.4021		
						7/1/1999	95.3864		
						8/1/1999	97.8132		
						9/1/1999	96.5053		
						10/1/1999	99.4991		
						11/1/1999	98.6141		
						12/1/1999	98.6717		
						1/1/2000	100.6739		
						2/1/2000	100.4099		
						3/1/2000	100.0396		
						4/1/2000	101.3696		
						5/1/2000	101.1462		
						6/1/2000	100.8216		
						7/1/2000	98.1781		
						8/1/2000	99.0101		
						9/1/2000	99.9553		
						10/1/2000	98.1177		
						11/1/2000	96.0035		
						12/1/2000	94.5975		
						1/1/2001	92.9852		
						2/1/2001	92.9039		
						3/1/2001	95.3061		
						4/1/2001	95.294		
						5/1/2001	96.0783		
						6/1/2001	95.5429		
						7/1/2001	96.3556		
						8/1/2001	94.9057		
						9/1/2001	94.2084		
						10/1/2001	92.7938		
						11/1/2001	94.5198		
						12/1/2001	96.7367		
						1/1/2002	96.621		
						2/1/2002	97.026		
						3/1/2002	97.7643		
						4/1/2002	99.1207		
						5/1/2002	99.5572		
						6/1/2002	100.8551		
						7/1/2002	101.382		
						8/1/2002	101.3686		
						9/1/2002	101.4006		
						10/1/2002	100.3413		
						11/1/2002	103.0684		
						12/1/2002	101.4948		
						1/1/2003	103.1052		
						2/1/2003	101.7873		
						3/1/2003	101.8785		
						4/1/2003	100.8148		
						5/1/2003	100.9004		
						6/1/2003	102.0167		
						7/1/2003	104.162		
						8/1/2003	102.8097		
						9/1/2003	106.1335		
						10/1/2003	104.4055		
						11/1/2003	105.3821		
						12/1/2003	105.5574		
						1/1/2004	107.0736		
						2/1/2004	106.2897		
						3/1/2004	104.9055		
						4/1/2004	105.1877		
						5/1/2004	104.1715		
						6/1/2004	101.9118		
						7/1/2004	102.625		
						8/1/2004	104.0944		
						9/1/2004	102.7088		
						10/1/2004	104.7563		
						11/1/2004	104.1189		
						12/1/2004	104.2803		
						1/1/2005	103.6801		
						2/1/2005	106.4681		
						3/1/2005	104.4906		
						4/1/2005	102.7861		
						5/1/2005	103.4686		
						6/1/2005	104.2256		
						7/1/2005	103.217		
						8/1/2005	105.3265		
						9/1/2005	107.39		
						10/1/2005	107.9575		
						11/1/2005	105.5737		
						12/1/2005	104.1974		
						1/1/2006	105.5299		
						2/1/2006	104.5371		
						3/1/2006	105.1255		
						4/1/2006	104.9016		
						5/1/2006	104.0624		
						6/1/2006	104.6588		
						7/1/2006	102.1893		
						8/1/2006	103.7534		
						9/1/2006	102.7835		
						10/1/2006	100.6422		
						11/1/2006	101.6873		
						12/1/2006	103.0293		
						1/1/2007	100.1554		
						2/1/2007	101.657		
						3/1/2007	102.2		
						4/1/2007	103.9943		
						5/1/2007	103.6063		
						6/1/2007	105.0321		
						7/1/2007	105.7729		
						8/1/2007	104.6247		
						9/1/2007	103.5232		
						10/1/2007	102.4462		
						11/1/2007	102.9189		
						12/1/2007	102.7314		
						1/1/2008	101.1458		
						2/1/2008	99.9551		
						3/1/2008	97.8161		
						4/1/2008	94.5238		
						5/1/2008	94.8791		
						6/1/2008	96.71		
						7/1/2008	97.2101		
						8/1/2008	91.4229		
						9/1/2008	90.5409		
						10/1/2008	88.0596		
						11/1/2008	85.4572		
						12/1/2008	80.6607		
						1/1/2009	72.5653		
						2/1/2009	73.7046		
